name,personality,description
Mayuri Shirasagi,"Calm, Kind","Mayuri is the very calm senpai who is the other “idol” in the school. She is best friends with Sakurako and has an onee-san type of personality. Mayuri is the vice-president of the student council. She has a kind and elegant personality, and excels in academics and sports."
Suzuno Yoshino,"Childish, Mature","Suzuno is a mysterious girl who claims she is a spirit not visible to human eyes. She’s quite childish overall but can be mature at times. Like Sakurako, she is soft-spoken. She also has a weak body and is clumsy."
Itsuki Myoudouin,"Gentle, Athletic","Itsuki is in the second year, the student council president and the grandchild of the current principal of Myōdō Academy. Itsuki appears to be a gentle, handsome, and athletic boy with a princely demeanor who attracts many subordinates and fans. At the beginning, Tsubomi developed a temporary admiration for Itsuki until discovering her female gender. She crossdresses due to her having to substitute as the heir of the school and dojo in place of her ailing older brother, Satsuki. However, she maintains a great love for cute, girl things and is convinced to join the fashion club. In the events of Episode 22, she picked up Potpourri and thinks it's cute. She later becomes Cure Sunshine to rescue Tsubomi and Erika from danger with Potpourri while saving her brother's Heart Flower. As Cure Sunshine, her theme color is Gold and her flower symbol is the Sunflower. Her powers are related to the sun and can use auxiliary attacks in addition to her finishing attack. Her catchphrase is ""I will heal the darkness in your heart with my light."" She introduces herself as ""The flower bathing in the sunlight, Cure Sunshine!"" (陽の光浴びる一輪の花、キュアサンシャイン！, Hi no hikari ni abiru ichirin no hana, Kyua Sanshain!)"
Haruka Suzumiya,"shy, timid","Being a shy, timid girl, Haruka is set up with Takayuki by her friend, Mitsuki, while she is in high school. The two quickly become close, and develop an intimate relationship. She takes in an interest in collecting picture books."
Byakugun,"Strong, Assertive","Byakugun is one of the members of the Iga's League of Five. She has incredible strength that could even overpower Miyoshi Seikai Nyudo. She dresses like a tomboy, wearing a white coat and a black vest revealing her midriff. She bears a serious facial expression and is vulgar to some extent."
Okatsu,"Cheerful, Flirtatious","Okatsu is a ninja working with Hanzou . She has a sister named Kaiyo. Also, Okatsu has control over the snakes. Okatsu is a woman with dark purple hair tied in a ponytail and light purple eyes. She has huge breasts and wears a light pink outifit. She also has a black ribbon tied around her waist. She seems like a cheery young lady to takes interests in handsome men both young and old as she was seen taking a liking to sasuke during their battle in episode 2 before Anastacia interrupted. In episode 4 where she also takes a liking to Kakei and even mounting on him and flirting with him and after her illusion was broken she still flirted with him until he shot himself to kill her. She just does not like it when she's been interrupted just like the red dude screaming and calling him an inelegant person after her illusion was broken with the wind allowing Kakei to move and break free from her grip but she was able to put him under grip after she dodged the bullets he fired from his rifle."
Kaiyo,"cheery, playful",Kaiyo is a skillful ninja and one of the Iga. She is Okatsu 's sister. Kaiyo has control over the insects while her sister has control over the snakes. Kaiyo is a woman with long spiky dark purple hair and light purple eyes. She has huge breasts and wears a white outfit. She seems to be a cheery person just like her sister and she likes to tease people as well just like when sasuke sneaked up behind asking her to leave and she refused because she has been instructed to kill all the braves then he said she should prepare to die and she surprisingly gave him a kiss putting an insect in his mouth and teases him for rejecting her kiss after he jumped away from her.
Itsumi,"blunt, shameless","Koji’s childhood friend that moved away after middle school. She always really liked Koji, and wished that she could be with him again. By chance, the two end up meeting in the shopping district, and Koji doesn’t recognize the now much more mature girl. She is typically very blunt, and even more shameless when it comes to her job at the cafe."
Sagisawa Chiho,"Insecure, Reserved","Chiho is Masaya’s childhood friend. After a year apart, they’re each surprised to find the other at Vincennes. Vincennes has three levels of schooling: Primary, Intermediate, and Final, and the students put a lot of stock in how early you entered the school. Chiho entered during Final Course, and feels isolated as a result. She doesn’t have a title, and mostly tries hard to keep her head down. Of course, Chiho’s the kind of girl who would have been extremely popular if she’d entered in Primary Course... but she doesn’t seem to realize it."
Yanase Konomi,"Shy, Strong","Konomi is a 3rd year student in Intermediary course. She thinks of Ritsuko and herself as ”sisters,” but Ritsuko doesn’t return her affections. (”Sisters” at Vincennes refers to a special closeness between two people). She burns in opposition to Masaya, whom she views as a threat to her ”Onee-sama.” Because Ritsuko’s views are so conservative, Konomi can view the symbol of reform, the protagonist, as no less than an enemy to defeat! But if you set those matters aside, she seems to bear him no ill will. Even so, she has no experience with boys, and she’s an extremely late bloomer, so she can’t even look him in the eye when they talk. She’s so shy that she can’t even pay attention during health classes. She believes that you can get pregnant by looking into a boy’s eyes for ten seconds. Her title ”Mignon Poupee” means ”Darling Doll,” but she’s exceedingly strong -- in multiple senses of the word."
